source,company,title,url,snippet,emails_page,phones_page,dork
remotive,Lemon.io,Senior DevOps Engineer,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099,"<p>Are you a talented Senior DevOps looking for a remote job that lets you show your skills and get decent compensation? Look no further than <a href=""https://lemon.io/for-developers/?utm_source=remotive&amp;utm_medium=job_ad&amp;utm_campaign=supply_en_devops_client_aug_2026_job_ad"" rel=""nofollow"" target=""_self"">Lemon.io</a> — the marketplace that connects you with hand-picked startups in the US and Europe.</p> <p> </p> <p> </p> <p>We currently have multiple DevOps openings open at once, each wi",,,category:Devops
remotive,Creative Force,SaaS Product Support Jedi,https://remotive.com/remote-jobs/customer-service/saas-product-support-jedi-2091087,"<p style=""padding: 0px 0px 1em; border-style: none; outline: 0px; text-size-adjust: 100%; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; color: #000000;"">We’re on the hunt for a sharp, self-driven SaaS pro who’s as comfortable troubleshooting API and integrations as they are navigating human conversations.</p> <p style=""pa",,,category:Customer Service
hn_algolia,vasanthps,Show HN: Let your AI agent manage your link in bio,https://keepp.link/keepp-skill/SKILL.md,"Keepp, is not just a link in bio. It is a landing page for all the creators and small businesses. Along with socials and links, it supports cards with customizable actions to show case things you sell and recommend. With and AI agent it becomes much easier to manage. Let it edit it automatically when you run promos, you have updates and never worry about it being outdated.",,,hn:small business IT support
hn_algolia,raybb,Google Maps is making it easier to support small businesses with donations,https://www.androidpolice.com/2020/05/27/google-search-and-maps-are-making-it-easier-to-support-small-businesses-with-donations-and-gift-cards/,,,,hn:small business IT support
hn_algolia,dexyn,Show HN: AI Tax Professional for small businesses,https://pudno.com/app,"I’ve been working on a project since January 1st, and I just deployed a prototype. I started this project after speaking with tax professionals to understand their workflow and identify pain points. The goal is to build an affordable alternative to traditional tax services, making tax filing more accessible and efficient. What it does so far:
  - Identify IRS Forms: The tool detects which forms are required based on the user's tax situation. Right now, it fully supports forms 1040, 1040-C, and 1",,,hn:small business IT support
hn_algolia,miloschwartz,Show HN: Pangolin: Open-source identity-based VPN (Twingate/Zscaler alternative),https://github.com/fosrl/pangolin,"Pangolin (<a href=""https://github.com/fosrl/pangolin"" rel=""nofollow"">https://github.com/fosrl/pangolin</a>) is an open-source tool for identity-based remote access to internal resources - an alternative to Cloudflare ZTNA, Zscaler, and Twingate. It’s different than existing approaches: mesh VPNs (Tailscale, ZeroTier, etc.) create flat overlay networks where ACL and IP space management becomes complex at scale and every device can talk to every other device, while corporate ZTNA solutions (Zscale",,,hn:small business IT support
hn_algolia,dennis16384,Show HN: Routing24 – Free route optimization in the browser,https://routing24.com,"Hi HN! I built Routing24 to make route optimization easier and accessible for small businesses and solo drivers. With Google Maps, you can plan routes between a few locations for free, but it doesn’t support efficient multi-stop planning, handling multiple vehicles, or adding specific business rules like delivery time windows. Many tools offer route optimization for around $30 per vehicle per month, but Routing24 provides it completely free. Optimization happens fully on the client-side, using y",,,hn:small business IT support
hn_algolia,evermike,What 30k Free Users Taught Me About Charging $10/Month,https://news.ycombinator.com/item?id=45220070,"Two years ago we decided to test an idea. What if we built a small native Trello power-up — simple, clean, and entirely dependent on the marketplace? Could it turn into a small business? Could it be a model for side projects? It took off fast. 30,000+ installs, thousands of daily users, and today—over 500 paying customers. Sounds good, right? Not really. On the bright side — Trello is a fair ecosystem. Even small developers get discovered. No downranking, no hidden boost for “big players.” Clean",,,hn:small business IT support
hn_algolia,josephby,Easy to use cloud backup with local file server?,https://news.ycombinator.com/item?id=5164179,"Hi there; friends of mine run a small business with a local Windows file server and were looking for a backup solution. I was going to move them to a cloud storage solution, except that they also need to maintain local copies because (1) their internet connection is unreliable, and (2) some of their files are very large, and they need local access to work with them reasonably well. Alternatives I've thought of: - Dropbox for teams syncing folders on their local PCs -- ideal, but expensive - Use ",,,hn:small business IT support
hn_algolia,who-knows95,Using Haveibeenpwned (HIBP) in a Corporate Setting?,https://news.ycombinator.com/item?id=19272768,"Hello there, thank you for reading this, i work in a small to median sized IT support business. i'm the cyber sec junior, and i have been wondering about if i can implement HIBP in a corporate setting. i currently use it to educate staff members on how passwords are breached, and why emails need to be secure, and i know i can use it to scan a domain and find emails linked to breaches and that i can use it as a blacklist for passwords. is there anything else i should think about or look into? tha",,,hn:small business IT support
